Theme,Category,Criterion,Hunter Valley,Gladstone,Kwinana,Port Hedland
Enabling Infrastructure,Energy System,Renewable Energy Generation,3,3,,
Enabling Infrastructure,Energy System,Transmission Network,2,2,,
Enabling Infrastructure,Energy System,Distribution Network,2,2,,
Enabling Infrastructure,Energy System,Energy Storage,2,3,,
Enabling Infrastructure,Energy System,Hydrogen Network,1,2,,
Enabling Infrastructure,Energy System,Energy System Orchestration,,,,
Enabling Infrastructure,Transport System,Port,,,,
Enabling Infrastructure,Transport System,Rail,,,,
Enabling Infrastructure,Transport System,Roads,,,,
Enabling Infrastructure,Transport System,Transport Networks,,,,
Enabling Infrastructure,Water System & Waste Management,Water and Wastewater Management,,,,
Enabling Infrastructure,Water System & Waste Management,Solid Waste & Resource Recovery,,,,
Enabling Infrastructure,Social Infrastructure,Housing,,,,
Enabling Infrastructure,Social Infrastructure,Health,,,,
Enabling Infrastructure,Social Infrastructure,Education,,,,
Enabling Infrastructure,Social Infrastructure,Digital Infrastructure,,,,
Industry Capability & Capacity,Industry Decarbonisation,Industry Decarbonisation Plans,2,3,,
Industry Capability & Capacity,Workforce Capacity to Deliver,Existing Workforce Capacity,,,,
Industry Capability & Capacity,Workforce Capacity to Deliver,Reskilling & Upskilling Programs,,,,
Industry Capability & Capacity,Innovation & Knowledge Development,Innovation,,,,
Industry Capability & Capacity,Innovation & Knowledge Development,Commercialisation,,,,
Industry Capability & Capacity,Innovation & Knowledge Development,Knowledge Generation & Sharing,,,,
Industry Capability & Capacity,Collaboration & Industrial Ecosystems,Industrial Symbiosis & Material Exchange,,,,
Industry Capability & Capacity,Collaboration & Industrial Ecosystems,Coordinated infrastructure plan for common user infrastructure,,,,
Industry Capability & Capacity,Collaboration & Industrial Ecosystems,Contribution to Australian supply chain resilience,,,,
Industry Capability & Capacity,Collaboration & Industrial Ecosystems,International linkages / international coordination,,,,
Policy & Governance,Federal Policy,Emissions Reduction Commitment,3,2,,
Policy & Governance,Federal Policy,Skills & Training,3,3,,
Policy & Governance,Federal Policy,Approvals Process,3,3,,
Policy & Governance,Federal Policy,Investment Framework,3,3,,
Policy & Governance,Federal Policy,Research & Development,4,4,,
Policy & Governance,Federal Policy,Government Procurement Support,3,3,,
Policy & Governance,State Policy,Emissions Reduction Commitment,3,3,,
Policy & Governance,State Policy,Skills & Training,4,3,,
Policy & Governance,State Policy,Approvals Process,3,2,,
Policy & Governance,State Policy,Investment Framework,3,3,,
Policy & Governance,State Policy,Research & Development,3,2,,
Policy & Governance,State Policy,Government Procurement Support,3,3,,
Policy & Governance,Local Government Policy,LGA decarbonisation plans,2,4,,
Policy & Governance,Local Government Policy,Regional climate adaptation / resilience plans,,,,
Policy & Governance,Governance,Regional Coordination,,,,
Policy & Governance,Governance,Regional representation of relevant agencies,,,,
Policy & Governance,Governance,Policy alignment & Coordination,,,,
Social Acceptance,Engagement & Participation of Communities,Effective First Nations Engagement,,,,
Social Acceptance,Engagement & Participation of Communities,Effective community engagement,,,,
Social Acceptance,Community Benefits & Impact,First Nations Community Benefit Sharing,,,,
Social Acceptance,Community Benefits & Impact,Wider Community Benefit Sharing,,,,
Social Acceptance,Engagement & Participation of Communities,Strategic & Nature Positive Land Use Planning,,3,,
Financing the Transition,Investment,Public Finance Commitment,,,,
Financing the Transition,Investment,Attracting private investment,,,,
Financing the Transition,Risk & Resilience,Risk & Resilience,,,,